"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
13.03.2020;Москва;26;0;0;0;5;0
13.03.2020;Московская обл.;5;0;0;0;1;0
13.03.2020;Нижегородская обл.;1;0;0;0;0;0
13.03.2020;Пермский край;1;0;0;0;1;0
13.03.2020;Санкт-Петербург;4;0;0;0;3;0
14.03.2020;Белгородская обл.;1;0;0;0;0;0
14.03.2020;Калининградская обл.;3;0;0;0;1;0
14.03.2020;Кемеровская обл.;2;0;0;0;2;0
14.03.2020;Краснодарский край;1;0;0;0;0;0
14.03.2020;Ленинградская обл.;1;0;0;0;0;0
14.03.2020;Липецкая обл.;3;0;0;0;0;0
14.03.2020;Москва;35;0;0;0;9;0
14.03.2020;Московская обл.;6;0;0;0;1;0
14.03.2020;Нижегородская обл.;1;0;0;0;0;0
14.03.2020;Пермский край;1;0;0;0;0;0
14.03.2020;Санкт-Петербург;5;0;0;0;1;0
15.03.2020;Белгородская обл.;1;0;0;0;0;0
15.03.2020;Калининградская обл.;3;0;0;0;0;0
15.03.2020;Кемеровская обл.;2;0;0;0;0;0
15.03.2020;Краснодарский край;1;0;0;0;0;0
15.03.2020;Ленинградская обл.;1;0;0;0;0;0
15.03.2020;Липецкая обл.;3;0;0;0;0;0
15.03.2020;Москва;35;0;0;0;0;0
15.03.2020;Московская обл.;9;0;0;0;3;0
15.03.2020;Нижегородская обл.;1;0;0;0;0;0
15.03.2020;Пермский край;1;0;0;0;0;0
15.03.2020;Санкт-Петербург;5;0;0;0;0;0
15.03.2020;Тюменская обл.;1;0;0;0;1;0
16.03.2020;Белгородская обл.;1;0;0;0;0;0
16.03.2020;Забайкальский край;1;0;0;0;1;0
16.03.2020;Калининградская обл.;3;0;0;0;0;0
16.03.2020;Кемеровская обл.;2;0;0;0;0;0
16.03.2020;Кировская обл.;1;0;0;0;1;0
16.03.2020;Коми;1;0;0;0;1;0
16.03.2020;Краснодарский край;1;0;0;0;0;0
16.03.2020;Ленинградская обл.;1;0;0;0;0;0
16.03.2020;Липецкая обл.;3;0;0;0;0;0
16.03.2020;Москва;53;0;0;0;18;0
16.03.2020;Московская обл.;10;0;0;0;1;0
16.03.2020;Нижегородская обл.;1;0;0;0;0;0
16.03.2020;Пермский край;2;0;0;0;1;0
16.03.2020;Самарская обл.;3;0;0;0;3;0
16.03.2020;Санкт-Петербург;8;0;0;0;3;0
16.03.2020;Тюменская обл.;2;0;0;0;1;0
17.03.2020;Архангельская обл.;1;0;0;0;1;0
17.03.2020;Белгородская обл.;1;0;0;0;0;0
17.03.2020;Забайкальский край;1;0;0;0;0;0
17.03.2020;Калининградская обл.;5;0;0;0;2;0
17.03.2020;Калужская обл.;1;0;0;0;1;0
17.03.2020;Кемеровская обл.;2;0;0;0;0;0
17.03.2020;Кировская обл.;1;0;0;0;0;0
17.03.2020;Коми;1;0;0;0;0;0
17.03.2020;Краснодарский край;1;0;0;0;0;0
17.03.2020;Красноярский край;1;0;0;0;1;0
17.03.2020;Ленинградская обл.;1;0;0;0;0;0
17.03.2020;Липецкая обл.;3;0;0;0;0;0
17.03.2020;Москва;55;0;0;0;2;0
17.03.2020;Московская обл.;12;0;0;0;2;0
17.03.2020;Нижегородская обл.;2;0;0;0;1;0
17.03.2020;Пензенская обл.;1;0;0;0;1;0
17.03.2020;Пермский край;2;0;0;0;0;0
17.03.2020;Самарская обл.;5;0;0;0;2;0
17.03.2020;Санкт-Петербург;9;0;0;0;1;0
17.03.2020;Свердловская обл.;1;0;0;0;1;0
17.03.2020;Тамбовская обл.;1;0;0;0;1;0
17.03.2020;Татарстан;1;0;0;0;1;0
17.03.2020;Тверская обл.;2;0;0;0;2;0
17.03.2020;Тюменская обл.;2;0;0;0;0;0
17.03.2020;Хакасия;1;0;0;0;1;0
17.03.2020;Ярославская обл.;1;0;0;0;1;0
18.03.2020;Архангельская обл.;1;0;0;0;0;0
18.03.2020;Белгородская обл.;1;0;0;0;0;0
18.03.2020;Забайкальский край;1;0;0;0;0;0
18.03.2020;Калининградская обл.;5;0;0;0;0;0
18.03.2020;Калужская обл.;1;0;0;0;0;0
18.03.2020;Кемеровская обл.;2;0;0;0;0;0
18.03.2020;Кировская обл.;1;0;0;0;0;0
18.03.2020;Коми;1;0;0;0;0;0
18.03.2020;Краснодарский край;1;0;0;0;0;0
18.03.2020;Красноярский край;1;0;0;0;0;0
18.03.2020;Ленинградская обл.;1;0;0;0;0;0
18.03.2020;Липецкая обл.;3;0;0;0;0;0
18.03.2020;Москва;86;0;0;0;31;0
18.03.2020;Московская обл.;12;0;0;0;0;0
18.03.2020;Нижегородская обл.;2;0;0;0;0;0
18.03.2020;Новосибирская обл.;1;0;0;0;1;0
18.03.2020;Пензенская обл.;1;0;0;0;0;0
18.03.2020;Пермский край;2;0;0;0;0;0
18.03.2020;Самарская обл.;5;0;0;0;0;0
18.03.2020;Санкт-Петербург;9;0;0;0;0;0
18.03.2020;Свердловская обл.;1;0;0;0;0;0
18.03.2020;Тамбовская обл.;1;0;0;0;0;0
18.03.2020;Татарстан;1;0;0;0;0;0
18.03.2020;Тверская обл.;2;0;0;0;0;0
18.03.2020;Томская обл.;1;0;0;0;1;0
18.03.2020;Тюменская обл.;2;0;0;0;0;0
18.03.2020;Хакасия;1;0;0;0;0;0
18.03.2020;Ярославская обл.;1;0;0;0;0;0
19.03.2020;Архангельская обл.;1;0;0;0;0;0
19.03.2020;Белгородская обл.;1;0;0;0;0;0
19.03.2020;Воронежская обл.;2;0;0;0;2;0
19.03.2020;Забайкальский край;1;0;0;0;0;0
19.03.2020;Ивановская обл.;1;0;0;0;1;0
19.03.2020;Калининградская обл.;5;0;0;0;0;0
19.03.2020;Калужская обл.;1;0;0;0;0;0
19.03.2020;Кемеровская обл.;2;0;0;0;0;0
19.03.2020;Кировская обл.;3;0;0;0;2;0
19.03.2020;Коми;1;0;0;0;0;0
19.03.2020;Краснодарский край;3;0;0;0;2;0
19.03.2020;Красноярский край;4;0;0;0;3;0
19.03.2020;Ленинградская обл.;1;0;0;0;0;0
19.03.2020;Липецкая обл.;3;0;0;0;0;0
19.03.2020;Москва;98;0;0;0;12;0
19.03.2020;Московская обл.;17;0;0;0;5;0
19.03.2020;Мурманская обл.;1;0;0;0;1;0
19.03.2020;Нижегородская обл.;3;0;0;0;1;0
19.03.2020;Новосибирская обл.;2;0;0;0;1;0
19.03.2020;Оренбургская обл.;1;0;0;0;1;0
19.03.2020;Пензенская обл.;1;0;0;0;0;0
19.03.2020;Пермский край;3;0;0;0;1;0
19.03.2020;Рязанская обл.;1;0;0;0;1;0
19.03.2020;Самарская обл.;5;0;0;0;0;0
19.03.2020;Санкт-Петербург;10;0;0;0;1;0
19.03.2020;Саратовская обл.;1;0;0;0;1;0
19.03.2020;Саха (Якутия);1;0;0;0;1;0
19.03.2020;Свердловская обл.;6;0;0;0;5;0
19.03.2020;Тамбовская обл.;3;0;0;0;2;0
19.03.2020;Татарстан;1;0;0;0;0;0
19.03.2020;Тверская обл.;3;0;0;0;1;0
19.03.2020;Томская обл.;1;0;0;0;0;0
19.03.2020;Тульская обл.;3;0;0;0;3;0
19.03.2020;Тюменская обл.;2;0;0;0;0;0
19.03.2020;Хабаровский край;3;0;0;0;3;0
19.03.2020;Хакасия;1;0;0;0;0;0
19.03.2020;ХМАО – Югра;1;0;0;0;1;0
19.03.2020;Чувашия;1;0;0;0;1;0
19.03.2020;Ярославская обл.;1;0;0;0;0;0
20.03.2020;Архангельская обл.;1;0;0;0;0;0
20.03.2020;Белгородская обл.;1;0;0;0;0;0
20.03.2020;Воронежская обл.;2;0;0;0;0;0
20.03.2020;Забайкальский край;1;0;0;0;0;0
20.03.2020;Ивановская обл.;1;0;0;0;0;0
20.03.2020;Калининградская обл.;5;0;0;0;0;0
20.03.2020;Калужская обл.;1;0;0;0;0;0
20.03.2020;Кемеровская обл.;2;0;0;0;0;0
20.03.2020;Кировская обл.;5;0;0;0;2;0
20.03.2020;Коми;1;0;0;0;0;0
20.03.2020;Краснодарский край;3;0;0;0;0;0
20.03.2020;Красноярский край;4;0;0;0;0;0
20.03.2020;Ленинградская обл.;1;0;0;0;0;0
20.03.2020;Липецкая обл.;3;0;0;0;0;0
20.03.2020;Москва;131;0;0;0;33;0
20.03.2020;Московская обл.;18;0;0;0;1;0
20.03.2020;Мурманская обл.;1;0;0;0;0;0
20.03.2020;Нижегородская обл.;3;0;0;0;0;0
20.03.2020;Новосибирская обл.;4;0;0;0;2;0
20.03.2020;Оренбургская обл.;1;0;0;0;0;0
20.03.2020;Пензенская обл.;1;0;0;0;0;0
20.03.2020;Пермский край;3;0;0;0;0;0
20.03.2020;Рязанская обл.;1;0;0;0;0;0
20.03.2020;Самарская обл.;9;0;0;0;4;0
20.03.2020;Санкт-Петербург;14;0;0;0;4;0
20.03.2020;Саратовская обл.;1;0;0;0;0;0
20.03.2020;Саха (Якутия);7;0;0;0;6;0
20.03.2020;Свердловская обл.;6;0;0;0;0;0
20.03.2020;Тамбовская обл.;3;0;0;0;0;0
20.03.2020;Татарстан;1;0;0;0;0;0
20.03.2020;Тверская обл.;3;0;0;0;0;0
20.03.2020;Томская обл.;1;0;0;0;0;0
20.03.2020;Тульская обл.;3;0;0;0;0;0
20.03.2020;Тюменская обл.;3;0;0;0;1;0
20.03.2020;Ульяновская обл.;1;0;0;0;1;0
20.03.2020;Хабаровский край;3;0;0;0;0;0
20.03.2020;Хакасия;1;0;0;0;0;0
20.03.2020;ХМАО – Югра;1;0;0;0;0;0
20.03.2020;Чувашия;1;0;0;0;0;0
20.03.2020;Ярославская обл.;1;0;0;0;0;0
21.03.2020;Архангельская обл.;1;0;0;0;0;0
21.03.2020;Белгородская обл.;1;0;0;0;0;0
21.03.2020;Воронежская обл.;2;0;0;0;0;0
21.03.2020;Забайкальский край;1;0;0;0;0;0
21.03.2020;Ивановская обл.;1;0;0;0;0;0
21.03.2020;Кабардино-Балкария;2;0;0;0;2;0
21.03.2020;Калининградская обл.;7;0;0;0;2;0
21.03.2020;Калужская обл.;1;0;0;0;0;0
21.03.2020;Кемеровская обл.;2;0;0;0;0;0
21.03.2020;Кировская обл.;5;0;0;0;0;0
21.03.2020;Коми;1;0;0;0;0;0
21.03.2020;Краснодарский край;5;0;0;0;2;0
21.03.2020;Красноярский край;5;0;0;0;1;0
21.03.2020;Крым;1;0;0;0;1;0
21.03.2020;Курганская обл.;1;0;0;0;1;0
21.03.2020;Ленинградская обл.;1;0;0;0;0;0
21.03.2020;Липецкая обл.;3;0;0;0;0;0
21.03.2020;Москва;137;0;0;0;6;0
21.03.2020;Московская обл.;35;0;0;0;17;0
21.03.2020;Мурманская обл.;1;0;0;0;0;0
21.03.2020;Нижегородская обл.;7;0;0;0;4;0
21.03.2020;Новосибирская обл.;4;0;0;0;0;0
21.03.2020;Оренбургская обл.;1;0;0;0;0;0
21.03.2020;Пензенская обл.;1;0;0;0;0;0
21.03.2020;Пермский край;3;0;0;0;0;0
21.03.2020;Рязанская обл.;2;0;0;0;1;0
21.03.2020;Самарская обл.;9;0;0;0;0;0
21.03.2020;Санкт-Петербург;16;0;0;0;2;0
21.03.2020;Саратовская обл.;1;0;0;0;0;0
21.03.2020;Саха (Якутия);7;0;0;0;0;0
21.03.2020;Свердловская обл.;9;0;0;0;3;0
21.03.2020;Ставропольский край;1;0;0;0;1;0
21.03.2020;Тамбовская обл.;3;0;0;0;0;0
21.03.2020;Татарстан;6;0;0;0;5;0
21.03.2020;Тверская обл.;3;0;0;0;0;0
21.03.2020;Томская обл.;1;0;0;0;0;0
21.03.2020;Тульская обл.;5;0;0;0;2;0
21.03.2020;Тюменская обл.;3;0;0;0;0;0
21.03.2020;Ульяновская обл.;1;0;0;0;0;0
21.03.2020;Хабаровский край;4;0;0;0;1;0
21.03.2020;Хакасия;1;0;0;0;0;0
21.03.2020;ХМАО – Югра;2;0;0;0;1;0
21.03.2020;Челябинская обл.;1;0;0;0;1;0
21.03.2020;Чувашия;1;0;0;0;0;0
21.03.2020;Ярославская обл.;1;0;0;0;0;0
22.03.2020;Архангельская обл.;2;0;0;0;1;0
22.03.2020;Белгородская обл.;1;0;0;0;0;0
22.03.2020;Брянская обл.;1;0;0;0;1;0
22.03.2020;Воронежская обл.;2;0;0;0;0;0
22.03.2020;Забайкальский край;1;0;0;0;0;0
22.03.2020;Ивановская обл.;1;0;0;0;0;0
22.03.2020;Кабардино-Балкария;2;0;0;0;0;0
22.03.2020;Калининградская обл.;7;0;0;0;0;0
22.03.2020;Калужская обл.;1;0;0;0;0;0
22.03.2020;Кемеровская обл.;2;0;0;0;0;0
22.03.2020;Кировская обл.;7;0;0;0;2;0
22.03.2020;Коми;1;0;0;0;0;0
22.03.2020;Краснодарский край;5;0;0;0;0;0
22.03.2020;Красноярский край;5;0;0;0;0;0
22.03.2020;Крым;1;0;0;0;0;0
22.03.2020;Курганская обл.;1;0;0;0;0;0
22.03.2020;Ленинградская обл.;1;0;0;0;0;0
22.03.2020;Липецкая обл.;3;0;0;0;0;0
22.03.2020;Москва;191;0;0;0;54;0
22.03.2020;Московская обл.;35;0;0;0;0;0
22.03.2020;Мурманская обл.;1;0;0;0;0;0
22.03.2020;Нижегородская обл.;7;0;0;0;0;0
22.03.2020;Новгородская обл.;1;0;0;0;1;0
22.03.2020;Новосибирская обл.;4;0;0;0;0;0
22.03.2020;Оренбургская обл.;1;0;0;0;0;0
22.03.2020;Пензенская обл.;1;0;0;0;0;0
22.03.2020;Пермский край;3;0;0;0;0;0
22.03.2020;Рязанская обл.;2;0;0;0;0;0
22.03.2020;Самарская обл.;9;0;0;0;0;0
22.03.2020;Санкт-Петербург;16;0;0;0;0;0
22.03.2020;Саратовская обл.;1;0;0;0;0;0
22.03.2020;Саха (Якутия);7;0;0;0;0;0
22.03.2020;Свердловская обл.;9;0;0;0;0;0
22.03.2020;Ставропольский край;1;0;0;0;0;0
22.03.2020;Тамбовская обл.;3;0;0;0;0;0
22.03.2020;Татарстан;6;0;0;0;0;0
22.03.2020;Тверская обл.;3;0;0;0;0;0
22.03.2020;Томская обл.;1;0;0;0;0;0
22.03.2020;Тульская обл.;5;0;0;0;0;0
22.03.2020;Тюменская обл.;3;0;0;0;0;0
22.03.2020;Удмуртия;2;0;0;0;2;0
22.03.2020;Ульяновская обл.;1;0;0;0;0;0
22.03.2020;Хабаровский край;4;0;0;0;0;0
22.03.2020;Хакасия;1;0;0;0;0;0
22.03.2020;ХМАО – Югра;2;0;0;0;0;0
22.03.2020;Челябинская обл.;1;0;0;0;0;0
22.03.2020;Чувашия;1;0;0;0;0;0
22.03.2020;Ярославская обл.;1;0;0;0;0;0
23.03.2020;Архангельская обл.;2;0;0;0;0;0
23.03.2020;Белгородская обл.;1;0;0;0;0;0
23.03.2020;Брянская обл.;1;0;0;0;0;0
23.03.2020;Воронежская обл.;2;0;0;0;0;0
23.03.2020;Забайкальский край;1;0;0;0;0;0
23.03.2020;Ивановская обл.;1;0;0;0;0;0
23.03.2020;Кабардино-Балкария;2;0;0;0;0;0
23.03.2020;Калининградская обл.;7;0;0;0;0;0
23.03.2020;Калужская обл.;1;0;0;0;0;0
23.03.2020;Кемеровская обл.;2;0;0;0;0;0
23.03.2020;Кировская обл.;7;0;0;0;0;0
23.03.2020;Коми;1;0;0;0;0;0
23.03.2020;Краснодарский край;5;0;0;0;0;0
23.03.2020;Красноярский край;5;0;0;0;0;0
23.03.2020;Крым;1;0;0;0;0;0
23.03.2020;Курганская обл.;1;0;0;0;0;0
23.03.2020;Ленинградская обл.;1;0;0;0;0;0
23.03.2020;Липецкая обл.;3;0;0;0;0;0
23.03.2020;Москва;262;0;0;0;71;0
23.03.2020;Московская обл.;35;0;0;0;0;0
23.03.2020;Мурманская обл.;1;0;0;0;0;0
23.03.2020;Нижегородская обл.;7;0;0;0;0;0
23.03.2020;Новгородская обл.;1;0;0;0;0;0
23.03.2020;Новосибирская обл.;4;0;0;0;0;0
23.03.2020;Оренбургская обл.;1;0;0;0;0;0
23.03.2020;Пензенская обл.;1;0;0;0;0;0
23.03.2020;Пермский край;3;0;0;0;0;0
23.03.2020;Рязанская обл.;2;0;0;0;0;0
23.03.2020;Самарская обл.;9;0;0;0;0;0
23.03.2020;Санкт-Петербург;16;0;0;0;0;0
23.03.2020;Саратовская обл.;1;0;0;0;0;0
23.03.2020;Саха (Якутия);7;0;0;0;0;0
23.03.2020;Свердловская обл.;9;0;0;0;0;0
23.03.2020;Ставропольский край;1;0;0;0;0;0
23.03.2020;Тамбовская обл.;3;0;0;0;0;0
23.03.2020;Татарстан;6;0;0;0;0;0
23.03.2020;Тверская обл.;3;0;0;0;0;0
23.03.2020;Томская обл.;1;0;0;0;0;0
23.03.2020;Тульская обл.;5;0;0;0;0;0
23.03.2020;Тюменская обл.;3;0;0;0;0;0
23.03.2020;Удмуртия;2;0;0;0;0;0
23.03.2020;Ульяновская обл.;1;0;0;0;0;0
23.03.2020;Хабаровский край;4;0;0;0;0;0
23.03.2020;Хакасия;1;0;0;0;0;0
23.03.2020;ХМАО – Югра;2;0;0;0;0;0
23.03.2020;Челябинская обл.;1;0;0;0;0;0
23.03.2020;Чувашия;1;0;0;0;0;0
23.03.2020;Ярославская обл.;1;0;0;0;0;0
24.03.2020;Архангельская обл.;2;0;0;0;0;0
24.03.2020;Башкортостан;3;0;0;0;3;0
24.03.2020;Белгородская обл.;1;0;0;0;0;0
24.03.2020;Брянская обл.;1;0;0;0;0;0
24.03.2020;Волгоградская обл.;1;0;0;0;1;0
24.03.2020;Воронежская обл.;6;0;0;0;4;0
24.03.2020;Забайкальский край;1;0;0;0;0;0
24.03.2020;Ивановская обл.;1;0;0;0;0;0
24.03.2020;Кабардино-Балкария;2;0;0;0;0;0
24.03.2020;Калининградская обл.;7;0;0;0;0;0
24.03.2020;Калужская обл.;2;0;0;0;1;0
24.03.2020;Кемеровская обл.;2;0;0;0;0;0
24.03.2020;Кировская обл.;7;0;0;0;0;0
24.03.2020;Коми;1;0;0;0;0;0
24.03.2020;Краснодарский край;5;0;0;0;0;0
24.03.2020;Красноярский край;5;0;0;0;0;0
24.03.2020;Крым;1;0;0;0;0;0
24.03.2020;Курганская обл.;1;0;0;0;0;0
24.03.2020;Ленинградская обл.;3;0;0;0;2;0
24.03.2020;Липецкая обл.;5;0;0;0;2;0
24.03.2020;Москва;290;0;0;0;28;0
24.03.2020;Московская обл.;35;0;0;0;0;0
24.03.2020;Мурманская обл.;1;0;0;0;0;0
24.03.2020;Нижегородская обл.;7;0;0;0;0;0
24.03.2020;Новгородская обл.;1;0;0;0;0;0
24.03.2020;Новосибирская обл.;4;0;0;0;0;0
24.03.2020;Оренбургская обл.;1;0;0;0;0;0
24.03.2020;Орловская обл.;2;0;0;0;2;0
24.03.2020;Пензенская обл.;1;0;0;0;0;0
24.03.2020;Пермский край;3;0;0;0;0;0
24.03.2020;Приморский край;2;0;0;0;2;0
24.03.2020;Рязанская обл.;2;0;0;0;0;0
24.03.2020;Самарская обл.;10;0;0;0;1;0
24.03.2020;Санкт-Петербург;21;0;0;0;5;0
24.03.2020;Саратовская обл.;1;0;0;0;0;0
24.03.2020;Саха (Якутия);7;0;0;0;0;0
24.03.2020;Свердловская обл.;13;0;0;0;4;0
24.03.2020;Ставропольский край;1;0;0;0;0;0
24.03.2020;Тамбовская обл.;3;0;0;0;0;0
24.03.2020;Татарстан;7;0;0;0;1;0
24.03.2020;Тверская обл.;3;0;0;0;0;0
24.03.2020;Томская обл.;1;0;0;0;0;0
24.03.2020;Тульская обл.;5;0;0;0;0;0
24.03.2020;Тюменская обл.;3;0;0;0;0;0
24.03.2020;Удмуртия;2;0;0;0;0;0
24.03.2020;Ульяновская обл.;1;0;0;0;0;0
24.03.2020;Хабаровский край;4;0;0;0;0;0
24.03.2020;Хакасия;1;0;0;0;0;0
24.03.2020;ХМАО – Югра;2;0;0;0;0;0
24.03.2020;Челябинская обл.;1;0;0;0;0;0
24.03.2020;Чечня;1;0;0;0;1;0
24.03.2020;Чувашия;1;0;0;0;0;0
24.03.2020;Ярославская обл.;1;0;0;0;0;0
25.03.2020;Архангельская обл.;3;0;0;0;1;0
25.03.2020;Башкортостан;4;0;0;0;1;0
25.03.2020;Белгородская обл.;1;0;0;0;0;0
25.03.2020;Брянская обл.;2;0;0;0;1;0
25.03.2020;Волгоградская обл.;1;0;0;0;0;0
25.03.2020;Воронежская обл.;6;0;0;0;0;0
25.03.2020;Забайкальский край;1;0;0;0;0;0
25.03.2020;Ивановская обл.;1;0;0;0;0;0
25.03.2020;Кабардино-Балкария;4;0;0;0;2;0
25.03.2020;Калининградская обл.;8;0;0;0;1;0
25.03.2020;Калужская обл.;2;0;0;0;0;0
25.03.2020;Кемеровская обл.;2;0;0;0;0;0
25.03.2020;Кировская обл.;7;0;0;0;0;0
25.03.2020;Коми;3;0;0;0;2;0
25.03.2020;Краснодарский край;9;0;0;0;4;0
25.03.2020;Красноярский край;5;0;0;0;0;0
25.03.2020;Крым;7;0;0;0;6;0
25.03.2020;Курганская обл.;1;0;0;0;0;0
25.03.2020;Ленинградская обл.;3;0;0;0;0;0
25.03.2020;Липецкая обл.;5;0;0;0;0;0
25.03.2020;Москва;410;0;0;0;120;0
25.03.2020;Московская обл.;41;0;0;0;6;0
25.03.2020;Мурманская обл.;1;0;0;0;0;0
25.03.2020;Нижегородская обл.;8;0;0;0;1;0
25.03.2020;Новгородская обл.;1;0;0;0;0;0
25.03.2020;Новосибирская обл.;4;0;0;0;0;0
25.03.2020;Оренбургская обл.;4;0;0;0;3;0
25.03.2020;Орловская обл.;2;0;0;0;0;0
25.03.2020;Пензенская обл.;2;0;0;0;1;0
25.03.2020;Пермский край;5;0;0;0;2;0
25.03.2020;Приморский край;2;0;0;0;0;0
25.03.2020;Псковская обл.;4;0;0;0;4;0
25.03.2020;Ростовская обл.;1;0;0;0;1;0
25.03.2020;Рязанская обл.;2;0;0;0;0;0
25.03.2020;Самарская обл.;10;0;0;0;0;0
25.03.2020;Санкт-Петербург;21;0;0;0;0;0
25.03.2020;Саратовская обл.;1;0;0;0;0;0
25.03.2020;Саха (Якутия);10;0;0;0;3;0
25.03.2020;Свердловская обл.;13;0;0;0;0;0
25.03.2020;Ставропольский край;2;0;0;0;1;0
25.03.2020;Тамбовская обл.;3;0;0;0;0;0
25.03.2020;Татарстан;7;0;0;0;0;0
25.03.2020;Тверская обл.;3;0;0;0;0;0
25.03.2020;Томская обл.;1;0;0;0;0;0
25.03.2020;Тульская обл.;7;0;0;0;2;0
25.03.2020;Тюменская обл.;3;0;0;0;0;0
25.03.2020;Удмуртия;2;0;0;0;0;0
25.03.2020;Ульяновская обл.;1;0;0;0;0;0
25.03.2020;Хабаровский край;4;0;0;0;0;0
25.03.2020;Хакасия;1;0;0;0;0;0
25.03.2020;ХМАО – Югра;2;0;0;0;0;0
25.03.2020;Челябинская обл.;2;0;0;0;1;0
25.03.2020;Чечня;1;0;0;0;0;0
25.03.2020;Чувашия;1;0;0;0;0;0
25.03.2020;Ярославская обл.;1;0;0;0;0;0
26.03.2020;Архангельская обл.;3;0;0;0;0;0
26.03.2020;Башкортостан;4;0;0;0;0;0
26.03.2020;Белгородская обл.;1;0;0;0;0;0
26.03.2020;Брянская обл.;2;0;0;0;0;0
26.03.2020;Бурятия;2;0;0;0;2;0
26.03.2020;Волгоградская обл.;1;0;0;0;0;0
26.03.2020;Воронежская обл.;6;0;0;0;0;0
26.03.2020;Забайкальский край;1;0;0;0;0;0
26.03.2020;Ивановская обл.;1;0;0;0;0;0
26.03.2020;Кабардино-Балкария;4;0;0;0;0;0
26.03.2020;Калининградская обл.;8;0;0;0;0;0
26.03.2020;Калужская обл.;2;0;0;0;0;0
26.03.2020;Кемеровская обл.;3;0;0;0;1;0
26.03.2020;Кировская обл.;7;0;0;0;0;0
26.03.2020;Коми;3;0;0;0;0;0
26.03.2020;Краснодарский край;9;0;0;0;0;0
26.03.2020;Красноярский край;8;0;0;0;3;0
26.03.2020;Крым;7;0;0;0;0;0
26.03.2020;Курганская обл.;1;0;0;0;0;0
26.03.2020;Ленинградская обл.;3;0;0;0;0;0
26.03.2020;Липецкая обл.;5;0;0;0;0;0
26.03.2020;Москва;546;0;0;0;136;0
26.03.2020;Московская обл.;41;0;0;0;0;0
26.03.2020;Мурманская обл.;1;0;0;0;0;0
26.03.2020;Нижегородская обл.;8;0;0;0;0;0
26.03.2020;Новгородская обл.;1;0;0;0;0;0
26.03.2020;Новосибирская обл.;5;0;0;0;1;0
26.03.2020;Оренбургская обл.;4;0;0;0;0;0
26.03.2020;Орловская обл.;2;0;0;0;0;0
26.03.2020;Пензенская обл.;2;0;0;0;0;0
26.03.2020;Пермский край;10;0;0;0;5;0
